me,mypoint,mypower,mypaper,enpoint,enpower,paper,c1,c2,c3,c4,c5,l1,l2,l3,l4,l5,win
홀바서목파,1463,656041,11,1317,557469,9,홀,바,,,퓨,1,2,,,2,1
홀바서목파,1470,656041,11,1483,691433,9,딸,바,펌,,파,5,2,4,,5,0
홀바서목파,1463,656041,11,1463,653797,7,,,펌,목,파,,,4,4,3,1
홀바서목파,1480,656041,11,1339,635839,9,,바,서,목,,,2,1,5,,1
홀바서목파,1518,656041,11,1506,680041,9,홀,샤,,,퓨,0,4,,,2,0
홀바서목파,1510,656041,11,1534,672948,7,,,펌,목,퓨,,,3,2,2,1
홀바서목파,1569,656041,11,1564,766289,11,,,펌,목,퓨,,,5,3,5,1
홀바서목파,1684,656041,11,1668,626446,11,홀,바,서,,,2,2,0,,,0
홀바서목파,1676,656041,11,1676,759404,9,딸,바,서,,퓨,4,3,0,,3,1
용바블퓨정,1689,680456,11,1689,633866,11,홀,바,펌,,파,2,3,5,,3,0
홀바서목파,1681,656041,11,1572,616019,5,,,서,펌,퓨,,,1,2,1,1
홀바서목파,1689,656041,11,1689,747544,9,홀,바,펌,즐,퓨,1,3,4,5,2,1
홀바서목파,1745,656041,11,1741,734157,11,,바,,펌,퓨,,3,,4,2,0
용바블퓨정,1737,680456,11,1743,668655,9,홀,바,펌,,퓨,1,3,4,,3,1
홀바서목파,1755,656041,11,1623,576144,6,홀,바,서,,,2,2,0,,,1
홀바서목파,1762,656041,11,1749,699285,11,홀,바,서,,,1,2,0,,,1
홀바서목파,1780,656041,11,1774,687629,10,달,바,,,아,2,2,,,3,1
홀바서목파,1791,657984,11,1774,654641,11,홀,바,,목,파,2,3,,3,4,0
홀바서목파,1786,657984,11,1677,606656,7,,딸,,바,퓨,,5,,2,2,0
홀바서목파,1776,657984,11,1783,7611125,11,,,펌,목,퓨,,,5,5,2,1
홀바서목파,1807,663347,11,1705,703455,10,바,,펌,,퓨,2,,4,,1,1
홀바서목파,1815,663347,11,1593,734681,11,홀,바,서,,,1,2,0,,,1
홀바서목파,1815,663347,11,1528,646800,7,,샤,바,퓨,,,5,4,2,,1
홀바서목파,1824,663347,11,1824,658895,10,홀,바,,,퓨,1,2,,,3,1
홀바서목파,1835,663347,11,1516,611576,9,홀,바,퓨,,,1,2,2,,,1
홀바서목파,1845,663347,11,1646,622335,7,딸,바,,,퓨,5,3,,,2,1
홀바서목파,1851,663347,11,1579,565594,6,홀,바,,,퓨,1,3,,,2,0
용바블퓨정,1839,680550,11,1845,580805,10,홀,바,펌,,,2,3,4,,,0
